ID,name,description,url,created,last modified,version,relationship citations
M1036,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc.",https://attack.mitre.org/mitigations/M1036,11 June 2019,13 June 2019,1.0,
M1015,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc.",https://attack.mitre.org/mitigations/M1015,06 June 2019,29 May 2020,1.1,"(Citation: Microsoft Netdom Trust Sept 2012),(Citation: Microsoft SID Filtering Quarantining Jan 2009),(Citation: Mandiant Defend UNC2452 White Paper),(Citation: Microsoft Trust Considerations Nov 2014),(Citation: AdSecurity Kerberos GT Aug 2015),(Citation: ADSecurity Mimikatz DCSync),(Citation: Microsoft Replication ACL),(Citation: Microsoft Protected Users Security Group),(Citation: ADSecurity Kerberos and KRBTGT),(Citation: AdSecurity DCSync Sept 2015),(Citation: STIG krbtgt reset),(Citation: Microsoft MS14-025)"
M1049,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.,https://attack.mitre.org/mitigations/M1049,11 June 2019,31 March 2020,1.1,"(Citation: Microsoft AMSI June 2015),(Citation: Chkrootkit Main),(Citation: Anomali Template Injection MAR 2018),(Citation: SourceForge rkhunter)"
M1013,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.,https://attack.mitre.org/mitigations/M1013,25 October 2017,17 October 2018,1.0,"(Citation: Apple Developer Doco Hardened Runtime),(Citation: Apple App Security Overview),(Citation: FireEye DLL Side-Loading)"
M1048,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.,https://attack.mitre.org/mitigations/M1048,11 June 2019,31 March 2020,1.1,"(Citation: Windows Blogs Microsoft Edge Sandbox),(Citation: Microsoft Protected View),(Citation: Ars Technica Pwn2Own 2017 VM Escape)"
M1047,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.",https://attack.mitre.org/mitigations/M1047,11 June 2019,19 November 2020,1.1,"(Citation: Secureworks - AT.exe Scheduled Task),(Citation: Microsoft CreateProcess),(Citation: Microsoft Get-InboxRule),(Citation: Vulnerability and Exploit Detector),(Citation: Cisco IOS Software Integrity Assurance - Change Control),(Citation: Microsoft Sxstrace),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: Cisco IOS Software Integrity Assurance - Image File Integrity),(Citation: Github UACMe),(Citation: Stealthbits Cracking AS-REP Roasting Jun 2019),(Citation: Powersploit),(Citation: Kifarunix - Task Scheduling in Linux),(Citation: Cisco IOS Software Integrity Assurance - Image File Verification),(Citation: GitHub Bloodhound),(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2),(Citation: Pfammatter - Hidden Inbox Rules),(Citation: Amazon S3 Security, 2019),(Citation: Microsoft Dynamic-Link Library Security),(Citation: FireEye ADFS),(Citation: Microsoft Preauthentication Jul 2012)"
M1040,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.",https://attack.mitre.org/mitigations/M1040,11 June 2019,11 June 2019,1.0,"(Citation: Microsoft ASR Nov 2017),(Citation: Microsoft_rec_block_rules),(Citation: Enigma Reviving DDE Jan 2018),(Citation: win10_asr)"
M1046,Boot Integrity,Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.,https://attack.mitre.org/mitigations/M1046,11 June 2019,19 May 2020,1.0,"(Citation: ESET LoJax Sept 2018),(Citation: Microsoft TESTSIGNING Feb 2021),(Citation: TCG Trusted Platform Module),(Citation: Intel Hardware-based Security Technologies),(Citation: TechNet Secure Boot Process),(Citation: Cisco IOS Software Integrity Assurance - Secure Boot)"
M1045,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.,https://attack.mitre.org/mitigations/M1045,11 June 2019,20 May 2020,1.1,"(Citation: Content trust in Azure Container Registry),(Citation: Content trust in Docker),(Citation: applescript signing),(Citation: Cisco IOS Software Integrity Assurance - Deploy Signed IOS)"
M1043,Credential Access Protection,Use capabilities to prevent successful credential access by adversaries; including blocking forms of credential dumping.,https://attack.mitre.org/mitigations/M1043,11 June 2019,31 March 2020,1.1,"(Citation: Microsoft Credential Guard April 2017),(Citation: GitHub SHB Credential Guard),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: Cisco IOS Software Integrity Assurance - Credentials Management),(Citation: Microsoft Enable Cred Guard April 2017),(Citation: TechNet Credential Guard)"
M1053,Data Backup,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.,https://attack.mitre.org/mitigations/M1053,19 July 2019,31 March 2020,1.1,"(Citation: Rhino S3 Ransomware Part 2),(Citation: Ready.gov IT DRP)"
M1057,Data Loss Prevention,"Use a data loss prevention (DLP) strategy to categorize sensitive data, identify data formats indicative of personal identifiable information (PII), and restrict exfiltration of sensitive data.(Citation: PurpleSec Data Loss Prevention)",https://attack.mitre.org/mitigations/M1057,04 August 2021,30 August 2021,1.0,
M1042,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,https://attack.mitre.org/mitigations/M1042,11 June 2019,31 March 2020,1.1,"(Citation: Apple Unified Log Analysis Remote Login and Screen Sharing),(Citation: Microsoft AlwaysInstallElevated 2018),(Citation: Symantec SSH and ssh-agent),(Citation: TechNet Removable Media Control),(Citation: MRWLabs Office Persistence Add-ins),(Citation: Microsoft Disable Macros),(Citation: Microsoft Disable DCOM),(Citation: ADSecurity Windows Secure Baseline),(Citation: BleepingComputer DDE Disabled in Word Dec 2017),(Citation: ITSyndicate Disabling PHP functions),(Citation: Microsoft ADV170021 Dec 2017),(Citation: Amazon AWS IMDS V2),(Citation: TechNet Screensaver GP),(Citation: Microsoft Disable Autorun),(Citation: Microsoft Network access Credential Manager),(Citation: Microsoft DDE Advisory Nov 2017),(Citation: Microsoft BEC Campaign),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: Microsoft Disable VBA Jan 2020)"
M1055,Do Not Mitigate,This category is to associate techniques that mitigation might increase risk of compromise and therefore mitigation is not recommended.,https://attack.mitre.org/mitigations/M1055,19 July 2019,23 July 2019,1.0,
M1041,Encrypt Sensitive Information,Protect sensitive information with strong encryption.,https://attack.mitre.org/mitigations/M1041,11 June 2019,11 June 2019,1.0,"(Citation: Amazon S3 Security, 2019),(Citation: Metcalf 2015),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Microsoft Azure Storage Security, 2019),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: Google Cloud Encryption Key Rotation)"
M1039,Environment Variable Permissions,Prevent modification of environment variables by unauthorized users and groups.,https://attack.mitre.org/mitigations/M1039,11 June 2019,11 June 2019,1.0,(Citation: Securing bash history)
M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",https://attack.mitre.org/mitigations/M1038,11 June 2019,20 June 2020,1.1,"(Citation: Microsoft ISAPICGIRestriction 2016),(Citation: Microsoft Windows Defender Application Control),(Citation: Microsoft WDAC),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: TechNet Applocker vs SRP),(Citation: Beechey 2010),(Citation: Increasing Linux kernel integrity),(Citation: Microsoft Using Software Restriction ),(Citation: Microsoft Driver Block Rules),(Citation: Microsoft Application Lockdown),(Citation: LKM loading kernel restrictions),(Citation: Apple TN2459 Kernel Extensions),(Citation: Kernel.org Restrict Kernel Module),(Citation: SANS Application Whitelisting),(Citation: Windows Commands JPCERT),(Citation: Corio 2008),(Citation: Dormann Dangers of VHD 2019),(Citation: Wikibooks Grsecurity),(Citation: Technospot Chrome Extensions GP),(Citation: Kernel Self Protection Project),(Citation: NSA MS AppLocker)"
M1050,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,https://attack.mitre.org/mitigations/M1050,11 June 2019,20 June 2020,1.1,"(Citation: TechNet Moving Beyond EMET),(Citation: Windows Commands JPCERT),(Citation: Corio 2008),(Citation: Secure Host Baseline EMET),(Citation: Microsoft Windows Defender Application Control),(Citation: Wikipedia Control Flow Integrity),(Citation: TechNet Applocker vs SRP),(Citation: Beechey 2010),(Citation: NSA MS AppLocker)"
