ID,name,description,url,created,last modified,version,relationship citations
M1036,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc.",https://attack.mitre.org/mitigations/M1036,11 June 2019,13 June 2019,1.0,
M1015,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc.",https://attack.mitre.org/mitigations/M1015,06 June 2019,29 May 2020,1.1,"(Citation: ADSecurity Mimikatz DCSync),(Citation: Microsoft Replication ACL),(Citation: Microsoft SID Filtering Quarantining Jan 2009),(Citation: ADSecurity Kerberos and KRBTGT),(Citation: Microsoft Protected Users Security Group),(Citation: Microsoft Trust Considerations Nov 2014),(Citation: Mandiant Defend UNC2452 White Paper),(Citation: AdSecurity DCSync Sept 2015),(Citation: AdSecurity Kerberos GT Aug 2015),(Citation: Microsoft Netdom Trust Sept 2012),(Citation: STIG krbtgt reset),(Citation: Microsoft MS14-025)"
M1049,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.,https://attack.mitre.org/mitigations/M1049,11 June 2019,31 March 2020,1.1,"(Citation: Anomali Template Injection MAR 2018),(Citation: Microsoft AMSI June 2015),(Citation: Chkrootkit Main),(Citation: SourceForge rkhunter)"
M1013,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.,https://attack.mitre.org/mitigations/M1013,25 October 2017,17 October 2018,1.0,"(Citation: Apple Developer Doco Hardened Runtime),(Citation: Apple App Security Overview),(Citation: FireEye DLL Side-Loading)"
M1048,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.,https://attack.mitre.org/mitigations/M1048,11 June 2019,31 March 2020,1.1,"(Citation: Windows Blogs Microsoft Edge Sandbox),(Citation: Ars Technica Pwn2Own 2017 VM Escape),(Citation: Microsoft Protected View)"
M1047,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.",https://attack.mitre.org/mitigations/M1047,11 June 2019,19 November 2020,1.1,"(Citation: Amazon S3 Security, 2019),(Citation: Stealthbits Cracking AS-REP Roasting Jun 2019),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2),(Citation: Microsoft Preauthentication Jul 2012),(Citation: Github UACMe),(Citation: Microsoft Dynamic-Link Library Security),(Citation: Cisco IOS Software Integrity Assurance - Image File Verification),(Citation: Cisco IOS Software Integrity Assurance - Image File Integrity),(Citation: Pfammatter - Hidden Inbox Rules),(Citation: Vulnerability and Exploit Detector),(Citation: Microsoft Sxstrace),(Citation: Cisco IOS Software Integrity Assurance - Change Control),(Citation: Microsoft Get-InboxRule),(Citation: FireEye ADFS),(Citation: Secureworks - AT.exe Scheduled Task),(Citation: Kifarunix - Task Scheduling in Linux),(Citation: Microsoft CreateProcess),(Citation: GitHub Bloodhound),(Citation: Powersploit)"
M1040,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.",https://attack.mitre.org/mitigations/M1040,11 June 2019,11 June 2019,1.0,"(Citation: Enigma Reviving DDE Jan 2018),(Citation: win10_asr),(Citation: Microsoft_rec_block_rules),(Citation: Microsoft ASR Nov 2017)"
M1046,Boot Integrity,Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.,https://attack.mitre.org/mitigations/M1046,11 June 2019,19 May 2020,1.0,"(Citation: Microsoft TESTSIGNING Feb 2021),(Citation: ESET LoJax Sept 2018),(Citation: TechNet Secure Boot Process),(Citation: Intel Hardware-based Security Technologies),(Citation: Cisco IOS Software Integrity Assurance - Secure Boot),(Citation: TCG Trusted Platform Module)"
M1045,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.,https://attack.mitre.org/mitigations/M1045,11 June 2019,20 May 2020,1.1,"(Citation: Content trust in Docker),(Citation: Cisco IOS Software Integrity Assurance - Deploy Signed IOS),(Citation: applescript signing),(Citation: Content trust in Azure Container Registry)"
M1043,Credential Access Protection,Use capabilities to prevent successful credential access by adversaries; including blocking forms of credential dumping.,https://attack.mitre.org/mitigations/M1043,11 June 2019,31 March 2020,1.1,"(Citation: Cisco IOS Software Integrity Assurance - Credentials Management),(Citation: Microsoft Enable Cred Guard April 2017),(Citation: GitHub SHB Credential Guard),(Citation: Microsoft Credential Guard April 2017),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: TechNet Credential Guard)"
M1053,Data Backup,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.,https://attack.mitre.org/mitigations/M1053,19 July 2019,31 March 2020,1.1,"(Citation: Ready.gov IT DRP),(Citation: Rhino S3 Ransomware Part 2)"
M1057,Data Loss Prevention,"Use a data loss prevention (DLP) strategy to categorize sensitive data, identify data formats indicative of personal identifiable information (PII), and restrict exfiltration of sensitive data.(Citation: PurpleSec Data Loss Prevention)",https://attack.mitre.org/mitigations/M1057,04 August 2021,30 August 2021,1.0,
M1042,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,https://attack.mitre.org/mitigations/M1042,11 June 2019,31 March 2020,1.1,"(Citation: ITSyndicate Disabling PHP functions),(Citation: BleepingComputer DDE Disabled in Word Dec 2017),(Citation: Microsoft BEC Campaign),(Citation: Microsoft DDE Advisory Nov 2017),(Citation: Microsoft Disable VBA Jan 2020),(Citation: Microsoft Network access Credential Manager),(Citation: Microsoft Disable Autorun),(Citation: Microsoft ADV170021 Dec 2017),(Citation: ADSecurity Windows Secure Baseline),(Citation: Symantec SSH and ssh-agent),(Citation: GitHub Disable DDEAUTO Oct 2017),(Citation: TechNet Removable Media Control),(Citation: MRWLabs Office Persistence Add-ins),(Citation: Microsoft Disable Macros),(Citation: Amazon AWS IMDS V2),(Citation: Microsoft AlwaysInstallElevated 2018),(Citation: Microsoft Disable DCOM),(Citation: Apple Unified Log Analysis Remote Login and Screen Sharing),(Citation: TechNet Screensaver GP)"
M1055,Do Not Mitigate,This category is to associate techniques that mitigation might increase risk of compromise and therefore mitigation is not recommended.,https://attack.mitre.org/mitigations/M1055,19 July 2019,23 July 2019,1.0,
M1041,Encrypt Sensitive Information,Protect sensitive information with strong encryption.,https://attack.mitre.org/mitigations/M1041,11 June 2019,11 June 2019,1.0,"(Citation: Amazon S3 Security, 2019),(Citation: Metcalf 2015),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: Google Cloud Encryption Key Rotation),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: Microsoft Azure Storage Security, 2019)"
M1039,Environment Variable Permissions,Prevent modification of environment variables by unauthorized users and groups.,https://attack.mitre.org/mitigations/M1039,11 June 2019,11 June 2019,1.0,(Citation: Securing bash history)
M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",https://attack.mitre.org/mitigations/M1038,11 June 2019,20 June 2020,1.1,"(Citation: Microsoft Windows Defender Application Control),(Citation: NSA MS AppLocker),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Microsoft ISAPICGIRestriction 2016),(Citation: Corio 2008),(Citation: LKM loading kernel restrictions),(Citation: TechNet Applocker vs SRP),(Citation: Dormann Dangers of VHD 2019),(Citation: Kernel Self Protection Project),(Citation: Windows Commands JPCERT),(Citation: Apple TN2459 Kernel Extensions),(Citation: Microsoft Driver Block Rules),(Citation: Microsoft Using Software Restriction ),(Citation: Kernel.org Restrict Kernel Module),(Citation: Wikibooks Grsecurity),(Citation: Microsoft Application Lockdown),(Citation: SANS Application Whitelisting),(Citation: Technospot Chrome Extensions GP),(Citation: Beechey 2010),(Citation: Increasing Linux kernel integrity),(Citation: Microsoft WDAC)"
M1050,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,https://attack.mitre.org/mitigations/M1050,11 June 2019,20 June 2020,1.1,"(Citation: Secure Host Baseline EMET),(Citation: Microsoft Windows Defender Application Control),(Citation: Wikipedia Control Flow Integrity),(Citation: NSA MS AppLocker),(Citation: TechNet Applocker vs SRP),(Citation: Windows Commands JPCERT),(Citation: TechNet Moving Beyond EMET),(Citation: Beechey 2010),(Citation: Corio 2008)"
M1037,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.,https://attack.mitre.org/mitigations/M1037,11 June 2019,20 June 2020,1.1,"(Citation: RedLock Instance Metadata API 2018),(Citation: Juniper DAI 2020),(Citation: byt3bl33d3r NTLM Relaying),(Citation: Secure Ideas SMB Relay),(Citation: US-CERT SMB Security),(Citation: Cisco ARP Poisoning Mitigation 2016),(Citation: US-CERT TA17-156A SNMP Abuse 2017),(Citation: CERT-EU DDoS March 2017),(Citation: Microsoft SMB Packet Signing),(Citation: Microsoft Preventing SMB),(Citation: US-CERT APT Energy Oct 2017)"
M1035,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.",https://attack.mitre.org/mitigations/M1035,11 June 2019,09 June 2020,1.0,"(Citation: TechNet RDP Gateway),(Citation: Wikipedia 802.1x),(Citation: Kubernetes API Control Access),(Citation: Docker Daemon Socket Protect)"
M1034,Limit Hardware Installation,"Block users or groups from installing or using unapproved hardware on systems, including USB devices.",https://attack.mitre.org/mitigations/M1034,11 June 2019,09 June 2020,1.0,
M1033,Limit Software Installation,Block users or groups from installing unapproved software.,https://attack.mitre.org/mitigations/M1033,11 June 2019,11 June 2019,1.0,
M1032,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.,https://attack.mitre.org/mitigations/M1032,10 June 2019,10 June 2019,1.0,"(Citation: Amazon S3 Security, 2019),(Citation: Evilginx 2 July 2018),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: Berkley Secure),(Citation: AWS - IAM Console Best Practices),(Citation: Expel IO Evil in AWS)"
M1031,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.,https://attack.mitre.org/mitigations/M1031,10 June 2019,10 June 2019,1.0,"(Citation: US-CERT-TA18-106A),(Citation: Akamai DGA Mitigation),(Citation: US-CERT TA18-106A Network Infrastructure Devices 2018),(Citation: Cybereason Dissecting DGAs),(Citation: Cisco Umbrella DGA Brute Force),(Citation: University of Birmingham C2),(Citation: Anomali Template Injection MAR 2018)"
M1030,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems.",https://attack.mitre.org/mitigations/M1030,10 June 2019,14 May 2020,1.1,"(Citation: Harmj0y Domain Trusts),(Citation: TechNet Firewall Design),(Citation: NSA Spotting),(Citation: US-CERT TA17-156A SNMP Abuse 2017)"
M1028,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,https://attack.mitre.org/mitigations/M1028,06 June 2019,19 June 2020,1.1,"(Citation: Microsoft Disable NTLM Nov 2012),(Citation: Microsoft BITS),(Citation: TechNet Server Operator Scheduled Task),(Citation: TechNet Removable Media Control),(Citation: Windows RDP Sessions),(Citation: Microsoft GPO Bluetooth FEB 2009),(Citation: Seqrite DoubleExtension),(Citation: Microsoft WDigest Mit),(Citation: UCF STIG Elevation Account Enumeration),(Citation: Tilbury Windows Credentials),(Citation: Windows Anonymous Enumeration of SAM Accounts),(Citation: SpectorOps Code Signing Dec 2017),(Citation: TechRepublic Wireless GPO FEB 2009),(Citation: HowToGeek ShowExtension),(Citation: Apple Developer Doco Hardened Runtime),(Citation: TechNet RDP NLA)"
M1027,Password Policies,Set and enforce secure password policies for accounts.,https://attack.mitre.org/mitigations/M1027,06 June 2019,06 June 2019,1.0,"(Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet),(Citation: NIST 800-63-3),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: AWS - IAM Console Best Practices),(Citation: Microsoft Install Password Filter n.d)"
M1056,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques.",https://attack.mitre.org/mitigations/M1056,19 October 2020,20 October 2020,1.0,
M1026,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.",https://attack.mitre.org/mitigations/M1026,06 June 2019,31 March 2020,1.1,"(Citation: Microsoft Create Token),(Citation: TechNet Scheduling Priority),(Citation: Microsoft Process Wide Com Keys),(Citation: Microsoft Securing Privileged Access),(Citation: Cisco IOS Software Integrity Assurance - TACACS),(Citation: FireEye WMI 2015),(Citation: TechNet Credential Theft),(Citation: CyberArk Labs Safe Mode 2016),(Citation: Microsoft runas),(Citation: Microsoft COM ACL),(Citation: ADSecurity AD Kerberos Attacks),(Citation: Tilbury Windows Credentials),(Citation: Microsoft System Wide Com Keys),(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: TechNet Least Privilege),(Citation: Netspi PowerShell Execution Policy Bypass),(Citation: Microsoft Replace Process Token),(Citation: FireEye ADFS),(Citation: AdSecurity Cracking Kerberos Dec 2015),(Citation: Microsoft Remote Use of Local)"
M1025,Privileged Process Integrity,"Protect processes with high privileges that can be used to interact with critical system components through use of protected process light, anti-process injection defenses, or other process integrity enforcement measures.",https://attack.mitre.org/mitigations/M1025,06 June 2019,20 May 2020,1.1,"(Citation: Microsoft LSA Protection Mar 2014),(Citation: Graeber 2014),(Citation: Microsoft LSA),(Citation: Microsoft Configure LSA)"
M1029,Remote Data Storage,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.,https://attack.mitre.org/mitigations/M1029,06 June 2019,06 June 2019,1.0,(Citation: Ready.gov IT DRP)
M1022,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.,https://attack.mitre.org/mitigations/M1022,06 June 2019,20 May 2020,1.1,"(Citation: win_xml_evt_log),(Citation: Microsoft W32Time May 2017),(Citation: Microsoft ETW May 2018),(Citation: InsiderThreat NTFS EA Oct 2017)"
