source_ID,source_name,source_type,mapping_type,target_ID,target_name,target_type,mapping_description
,Active DNS,datacomponent,detects,T1583,Acquire Infrastructure,technique,
,Active DNS,datacomponent,detects,T1584,Compromise Infrastructure,technique,
,Active DNS,datacomponent,detects,T1584.002,DNS Server,technique,
,Active DNS,datacomponent,detects,T1583.001,Domains,technique,
,Active DNS,datacomponent,detects,T1584.001,Domains,technique,
,Active Directory Credential Request,datacomponent,detects,T1558.004,AS-REP Roasting,technique,
,Active Directory Credential Request,datacomponent,detects,T1558.001,Golden Ticket,technique,
,Active Directory Credential Request,datacomponent,detects,T1558.003,Kerberoasting,technique,
,Active Directory Credential Request,datacomponent,detects,T1550.002,Pass the Hash,technique,
,Active Directory Credential Request,datacomponent,detects,T1550.003,Pass the Ticket,technique,
,Active Directory Credential Request,datacomponent,detects,T1558,Steal or Forge Kerberos Tickets,technique,
,Active Directory Credential Request,datacomponent,detects,T1550,Use Alternate Authentication Material,technique,
,Active Directory Object Access,datacomponent,detects,T1003.006,DCSync,technique,
,Active Directory Object Access,datacomponent,detects,T1615,Group Policy Discovery,technique,
,Active Directory Object Access,datacomponent,detects,T1003,OS Credential Dumping,technique,
,Active Directory Object Creation,datacomponent,detects,T1484,Domain Policy Modification,technique,
,Active Directory Object Creation,datacomponent,detects,T1484.002,Domain Trust Modification,technique,
,Active Directory Object Creation,datacomponent,detects,T1484.001,Group Policy Modification,technique,
,Active Directory Object Creation,datacomponent,detects,T1207,Rogue Domain Controller,technique,
,Active Directory Object Deletion,datacomponent,detects,T1484,Domain Policy Modification,technique,
,Active Directory Object Deletion,datacomponent,detects,T1484.001,Group Policy Modification,technique,
,Active Directory Object Modification,datacomponent,detects,T1134,Access Token Manipulation,technique,
,Active Directory Object Modification,datacomponent,detects,T1531,Account Access Removal,technique,
,Active Directory Object Modification,datacomponent,detects,T1098,Account Manipulation,technique,
,Active Directory Object Modification,datacomponent,detects,T1098.001,Additional Cloud Credentials,technique,
,Active Directory Object Modification,datacomponent,detects,T1037,Boot or Logon Initialization Scripts,technique,
,Active Directory Object Modification,datacomponent,detects,T1484,Domain Policy Modification,technique,
,Active Directory Object Modification,datacomponent,detects,T1484.002,Domain Trust Modification,technique,
,Active Directory Object Modification,datacomponent,detects,T1222,File and Directory Permissions Modification,technique,
,Active Directory Object Modification,datacomponent,detects,T1484.001,Group Policy Modification,technique,
,Active Directory Object Modification,datacomponent,detects,T1037.003,Network Logon Script,technique,
,Active Directory Object Modification,datacomponent,detects,T1207,Rogue Domain Controller,technique,
,Active Directory Object Modification,datacomponent,detects,T1134.005,SID-History Injection,technique,
,Active Directory Object Modification,datacomponent,detects,T1222.001,Windows File and Directory Permissions Modification,technique,
,Application Log Content,datacomponent,detects,T1550.001,Application Access Token,technique,
,Application Log Content,datacomponent,detects,T1499.003,Application Exhaustion Flood,technique,
,Application Log Content,datacomponent,detects,T1499.004,Application or System Exploitation,technique,
,Application Log Content,datacomponent,detects,T1110,Brute Force,technique,
,Application Log Content,datacomponent,detects,T1069.003,Cloud Groups,technique,
,Application Log Content,datacomponent,detects,T1213.003,Code Repositories,technique,
,Application Log Content,datacomponent,detects,T1213.001,Confluence,technique,
,Application Log Content,datacomponent,detects,T1613,Container and Resource Discovery,technique,
,Application Log Content,datacomponent,detects,T1110.004,Credential Stuffing,technique,
,Application Log Content,datacomponent,detects,T1213,Data from Information Repositories,technique,
,Application Log Content,datacomponent,detects,T1491,Defacement,technique,
,Application Log Content,datacomponent,detects,T1610,Deploy Container,technique,
,Application Log Content,datacomponent,detects,T1562.002,Disable Windows Event Logging,technique,
,Application Log Content,datacomponent,detects,T1189,Drive-by Compromise,technique,
,Application Log Content,datacomponent,detects,T1114,Email Collection,technique,
,Application Log Content,datacomponent,detects,T1114.003,Email Forwarding Rule,technique,
,Application Log Content,datacomponent,detects,T1564.008,Email Hiding Rules,technique,
,Application Log Content,datacomponent,detects,T1499,Endpoint Denial of Service,technique,
,Application Log Content,datacomponent,detects,T1098.002,Exchange Email Delegate Permissions,technique,
,Application Log Content,datacomponent,detects,T1190,Exploit Public-Facing Application,technique,
,Application Log Content,datacomponent,detects,T1210,Exploitation of Remote Services,technique,
,Application Log Content,datacomponent,detects,T1491.002,External Defacement,technique,
,Application Log Content,datacomponent,detects,T1133,External Remote Services,technique,
,Application Log Content,datacomponent,detects,T1564,Hide Artifacts,technique,
,Application Log Content,datacomponent,detects,T1491.001,Internal Defacement,technique,
,Application Log Content,datacomponent,detects,T1534,Internal Spearphishing,technique,
,Application Log Content,datacomponent,detects,T1204.003,Malicious Image,technique,
,Application Log Content,datacomponent,detects,T1137,Office Application Startup,technique,
,Application Log Content,datacomponent,detects,T1137.003,Outlook Forms,technique,
,Application Log Content,datacomponent,detects,T1137.004,Outlook Home Page,technique,
,Application Log Content,datacomponent,detects,T1137.005,Outlook Rules,technique,
,Application Log Content,datacomponent,detects,T1110.002,Password Cracking,technique,
,Application Log Content,datacomponent,detects,T1110.001,Password Guessing,technique,
,Application Log Content,datacomponent,detects,T1110.003,Password Spraying,technique,
